Position,IMDb_ID,Title,Year,IMDb_Rating,Directors,Genres,URL
819,tt0092337,Dekalog,1989,8.9,,Drama,https://www.imdb.com/title/tt0092337/
762,tt0090015,Shoah,1985,8.7,Claude Lanzmann,"Documentary, History, War",https://www.imdb.com/title/tt0090015/
305,tt0048434,Night and Fog,1956,8.6,Alain Resnais,"Documentary, Short, History, War",https://www.imdb.com/title/tt0048434/
370,tt0054407,Le trou,1960,8.5,Jacques Becker,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0054407/
1227,tt9617456,For Sama,2019,8.5,"Waad Al-Kateab, Edward Watts","Documentary, Biography, War",https://www.imdb.com/title/tt9617456/
435,tt0058625,Woman in the Dunes,1964,8.4,Hiroshi Teshigahara,"Drama, Thriller",https://www.imdb.com/title/tt0058625/
1216,tt8267604,Capernaum,2018,8.4,Nadine Labaki,Drama,https://www.imdb.com/title/tt8267604/
1250,tt15239678,Dune: Part Two,2024,8.4,Denis Villeneuve,"Action, Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt15239678/
63,tt0022100,M,1931,8.3,Fritz Lang,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt0022100/
181,tt0036775,Double Indemnity,1944,8.3,Billy Wilder,"Crime, Drama, Film-Noir, Mystery, Thriller",https://www.imdb.com/title/tt0036775/
256,tt0045152,Singin' in the Rain,1952,8.3,"Stanley Donen, Gene Kelly","Comedy, Musical, Romance",https://www.imdb.com/title/tt0045152/
258,tt0044741,Ikiru,1952,8.3,Akira Kurosawa,Drama,https://www.imdb.com/title/tt0044741/
290,tt0047445,Sansho the Bailiff,1954,8.3,Kenji Mizoguchi,Drama,https://www.imdb.com/title/tt0047445/
338,tt0050634,The Cranes Are Flying,1957,8.3,Mikhail Kalatozov,"Drama, Romance, War",https://www.imdb.com/title/tt0050634/
355,tt0053125,North by Northwest,1959,8.3,Alfred Hitchcock,"Adventure, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0053125/
406,tt0056322,The Given Word,1962,8.3,Anselmo Duarte,Drama,https://www.imdb.com/title/tt0056322/
506,tt0062622,2001: A Space Odyssey,1968,8.3,Stanley Kubrick,"Adventure, Sci-Fi",https://www.imdb.com/title/tt0062622/
752,tt0091251,Come and See,1985,8.3,Elem Klimov,"Drama, Thriller, War",https://www.imdb.com/title/tt0091251/
913,tt0110057,Hoop Dreams,1994,8.3,Steve James,"Documentary, Drama, Sport",https://www.imdb.com/title/tt0110057/
938,tt0435761,Toy Story 3,2010,8.3,Lee Unkrich,"Animation, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt0435761/
968,tt0119698,Princess Mononoke,1997,8.3,Hayao Miyazaki,"Animation, Adventure, Fantasy",https://www.imdb.com/title/tt0119698/
39,tt0018192,Napoleon,1927,8.2,Abel Gance,"Biography, Drama, History, War",https://www.imdb.com/title/tt0018192/
67,tt0023042,I Am a Fugitive from a Chain Gang,1932,8.2,Mervyn LeRoy,"Crime, Drama, Film-Noir",https://www.imdb.com/title/tt0023042/
133,tt0031381,Gone with the Wind,1939,8.2,Victor Fleming,"Drama, Romance, War",https://www.imdb.com/title/tt0031381/
150,tt0033467,Citizen Kane,1941,8.2,Orson Welles,"Drama, Mystery",https://www.imdb.com/title/tt0033467/
212,tt0040522,Bicycle Thieves,1948,8.2,Vittorio De Sica,Drama,https://www.imdb.com/title/tt0040522/
241,tt0042804,The Young and the Damned,1950,8.2,Luis Buñuel,"Crime, Drama",https://www.imdb.com/title/tt0042804/
298,tt0048452,Ordet,1955,8.2,Carl Theodor Dreyer,Drama,https://www.imdb.com/title/tt0048452/
339,tt0048956,Aparajito,1956,8.2,Satyajit Ray,Drama,https://www.imdb.com/title/tt0048956/
371,tt0054248,Rocco and His Brothers,1960,8.2,Luchino Visconti,"Crime, Drama, Sport",https://www.imdb.com/title/tt0054248/
385,tt0056119,La Jetée,1962,8.2,Chris Marker,"Short, Drama, Romance, Sci-Fi",https://www.imdb.com/title/tt0056119/
405,tt0056592,To Kill a Mockingbird,1962,8.2,Robert Mulligan,"Crime, Drama",https://www.imdb.com/title/tt0056592/
427,tt0057115,The Great Escape,1963,8.2,John Sturges,"Adventure, Drama, Thriller, War",https://www.imdb.com/title/tt0057115/
449,tt0059527,The Shop on Main Street,1965,8.2,"Ján Kadár, Elmar Klos","Drama, War",https://www.imdb.com/title/tt0059527/
578,tt0070735,The Sting,1973,8.2,George Roy Hill,"Comedy, Crime, Drama",https://www.imdb.com/title/tt0070735/
602,tt0071411,Dersu Uzala,1975,8.2,Akira Kurosawa,"Adventure, Biography, Drama",https://www.imdb.com/title/tt0071411/
639,tt0075404,The Ascent,1977,8.2,Larisa Shepitko,"Drama, War",https://www.imdb.com/title/tt0075404/
715,tt0084787,The Thing,1982,8.2,John Carpenter,"Horror, Mystery, Sci-Fi",https://www.imdb.com/title/tt0084787/
731,tt0085809,Koyaanisqatsi,1982,8.2,Godfrey Reggio,"Documentary, Music",https://www.imdb.com/title/tt0085809/
755,tt0089881,Ran,1985,8.2,Akira Kurosawa,"Action, Drama, War",https://www.imdb.com/title/tt0089881/
849,tt0100234,Close-Up,1990,8.2,Abbas Kiarostami,"Biography, Crime, Drama",https://www.imdb.com/title/tt0100234/
863,tt0101985,A Brighter Summer Day,1991,8.2,Edward Yang,"Crime, Drama, Romance",https://www.imdb.com/title/tt0101985/
922,tt0108906,The Kingdom,1994,8.2,,"Comedy, Drama, Fantasy, Horror, Mystery",https://www.imdb.com/title/tt0108906/
1158,tt2375605,The Act of Killing,2012,8.2,"Joshua Oppenheimer, Anonymous, Christine Cynn","Documentary, Biography, Crime, History, War",https://www.imdb.com/title/tt2375605/
1180,tt3521134,The Look of Silence,2014,8.2,Joshua Oppenheimer,"Documentary, Biography, History",https://www.imdb.com/title/tt3521134/
1199,tt5895028,13th,2016,8.2,Ava DuVernay,"Documentary, Crime, History",https://www.imdb.com/title/tt5895028/
1256,tt15398776,Oppenheimer,2023,8.2,Christopher Nolan,"Biography, Drama, History",https://www.imdb.com/title/tt15398776/
1,tt0000417,A Trip to the Moon,1902,8.1,Georges Méliès,"Short, Adventure, Comedy, Fantasy, Sci-Fi",https://www.imdb.com/title/tt0000417/
22,tt0015324,Sherlock Jr.,1924,8.1,Buster Keaton,"Action, Comedy, Romance",https://www.imdb.com/title/tt0015324/
29,tt0015864,The Gold Rush,1925,8.1,Charles Chaplin,"Adventure, Comedy, Drama, Romance, Western",https://www.imdb.com/title/tt0015864/
34,tt0018455,Sunrise,1927,8.1,F.W. Murnau,"Drama, Romance",https://www.imdb.com/title/tt0018455/
53,tt0020629,All Quiet on the Western Front,1930,8.1,Lewis Milestone,"Drama, War",https://www.imdb.com/title/tt0020629/
89,tt0025316,It Happened One Night,1934,8.1,Frank Capra,"Comedy, Romance",https://www.imdb.com/title/tt0025316/
112,tt0029192,Make Way for Tomorrow,1937,8.1,Leo McCarey,"Drama, Romance",https://www.imdb.com/title/tt0029192/
129,tt0031679,Mr. Smith Goes to Washington,1939,8.1,Frank Capra,"Comedy, Drama",https://www.imdb.com/title/tt0031679/
143,tt0032976,Rebecca,1940,8.1,Alfred Hitchcock,"Drama, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0032976/
145,tt0032551,The Grapes of Wrath,1940,8.1,John Ford,Drama,https://www.imdb.com/title/tt0032551/
194,tt0036868,The Best Years of Our Lives,1946,8.1,William Wyler,"Drama, Romance, War",https://www.imdb.com/title/tt0036868/
222,tt0040725,The Red Shoes,1948,8.1,"Michael Powell, Emeric Pressburger","Drama, Music, Romance",https://www.imdb.com/title/tt0040725/
227,tt0042041,White Heat,1949,8.1,Raoul Walsh,"Action, Crime, Drama, Film-Noir, Thriller",https://www.imdb.com/title/tt0042041/
229,tt0041452,The Heiress,1949,8.1,William Wyler,"Drama, Romance",https://www.imdb.com/title/tt0041452/
243,tt0043338,Ace in the Hole,1951,8.1,Billy Wilder,"Drama, Film-Noir",https://www.imdb.com/title/tt0043338/
259,tt0045274,Umberto D.,1952,8.1,Vittorio De Sica,Drama,https://www.imdb.com/title/tt0045274/
269,tt0046268,The Wages of Fear,1953,8.1,Henri-Georges Clouzot,"Adventure, Drama, Thriller",https://www.imdb.com/title/tt0046268/
272,tt0046438,Tokyo Story,1953,8.1,Yasujirô Ozu,Drama,https://www.imdb.com/title/tt0046438/
274,tt0046478,Ugetsu,1953,8.1,Kenji Mizoguchi,"Drama, Fantasy, War",https://www.imdb.com/title/tt0046478/
283,tt0046911,Diabolique,1955,8.1,Henri-Georges Clouzot,"Crime, Drama, Horror, Mystery, Thriller",https://www.imdb.com/title/tt0046911/
322,tt0049902,A Man Escaped,1956,8.1,Robert Bresson,"Drama, Thriller, War",https://www.imdb.com/title/tt0049902/
337,tt0050783,Nights of Cabiria,1957,8.1,Federico Fellini,Drama,https://www.imdb.com/title/tt0050783/
361,tt0052618,Ben-Hur,1959,8.1,William Wyler,"Adventure, Drama",https://www.imdb.com/title/tt0052618/
402,tt0056217,The Man Who Shot Liberty Valance,1962,8.1,John Ford,"Drama, Western",https://www.imdb.com/title/tt0056217/
454,tt0058946,The Battle of Algiers,1966,8.1,Gillo Pontecorvo,"Drama, War",https://www.imdb.com/title/tt0058946/
455,tt0059742,The Sound of Music,1965,8.1,Robert Wise,"Biography, Drama, Family, Musical, Romance",https://www.imdb.com/title/tt0059742/
511,tt0065234,Z,1969,8.1,Costa-Gavras,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0065234/
538,tt0066580,Woodstock,1970,8.1,Michael Wadleigh,"Documentary, History, Music",https://www.imdb.com/title/tt0066580/
544,tt0066904,The Sorrow and the Pity,1969,8.1,Marcel Ophüls,"Documentary, History, War",https://www.imdb.com/title/tt0066904/
628,tt0073195,Jaws,1975,8.1,Steven Spielberg,"Adventure, Horror, Thriller",https://www.imdb.com/title/tt0073195/
633,tt0074958,Network,1976,8.1,Sidney Lumet,Drama,https://www.imdb.com/title/tt0074958/
636,tt0075148,Rocky,1976,8.1,John G. Avildsen,"Drama, Sport",https://www.imdb.com/title/tt0075148/
874,tt0101640,Raise the Red Lantern,1991,8.1,Yimou Zhang,"Drama, Romance",https://www.imdb.com/title/tt0101640/
875,tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,1991,8.1,"Fax Bahr, George Hickenlooper, Eleanor Coppola",Documentary,https://www.imdb.com/title/tt0102015/
896,tt0106332,Farewell My Concubine,1993,8.1,Kaige Chen,"Drama, Music, Romance",https://www.imdb.com/title/tt0106332/
1207,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1,Martin McDonagh,"Comedy, Crime, Drama",https://www.imdb.com/title/tt5027774/
6,tt0010323,The Cabinet of Dr. Caligari,1920,8.0,Robert Wiene,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt0010323/
11,tt0012364,The Phantom Carriage,1921,8.0,Victor Sjöström,"Drama, Fantasy, Horror",https://www.imdb.com/title/tt0012364/
20,tt0015064,The Last Laugh,1924,8.0,F.W. Murnau,Drama,https://www.imdb.com/title/tt0015064/
24,tt0015881,Greed,1924,8.0,Erich von Stroheim,"Drama, Thriller, Western",https://www.imdb.com/title/tt0015881/
41,tt0018806,The Crowd,1928,8.0,King Vidor,"Drama, Romance",https://www.imdb.com/title/tt0018806/
168,tt0036244,The Ox-Bow Incident,1943,8.0,William A. Wellman,"Drama, Western",https://www.imdb.com/title/tt0036244/
169,tt0036112,The Life and Death of Colonel Blimp,1943,8.0,"Michael Powell, Emeric Pressburger","Drama, Romance, War",https://www.imdb.com/title/tt0036112/
191,tt0037558,Brief Encounter,1945,8.0,David Lean,"Drama, Romance",https://www.imdb.com/title/tt0037558/
202,tt0038733,A Matter of Life and Death,1946,8.0,"Michael Powell, Emeric Pressburger","Drama, Fantasy, Romance, War",https://www.imdb.com/title/tt0038733/
231,tt0041546,Kind Hearts and Coronets,1949,8.0,Robert Hamer,"Comedy, Crime",https://www.imdb.com/title/tt0041546/
254,tt0043686,Forbidden Games,1952,8.0,René Clément,"Drama, War",https://www.imdb.com/title/tt0043686/
278,tt0046250,Roman Holiday,1953,8.0,William Wyler,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0046250/
282,tt0047528,La Strada,1954,8.0,Federico Fellini,Drama,https://www.imdb.com/title/tt0047528/
310,tt0048424,The Night of the Hunter,1955,8.0,Charles Laughton,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0048424/
319,tt0049012,The Burmese Harp,1956,8.0,Kon Ichikawa,"Drama, Music, War",https://www.imdb.com/title/tt0049012/
329,tt0050613,Throne of Blood,1957,8.0,Akira Kurosawa,Drama,https://www.imdb.com/title/tt0050613/
341,tt0051036,Sweet Smell of Success,1957,8.0,Alexander Mackendrick,"Drama, Film-Noir",https://www.imdb.com/title/tt0051036/
362,tt0052561,Anatomy of a Murder,1959,8.0,Otto Preminger,"Drama, Mystery",https://www.imdb.com/title/tt0052561/
369,tt0053779,La Dolce Vita,1960,8.0,Federico Fellini,"Comedy, Drama",https://www.imdb.com/title/tt0053779/
400,tt0056444,An Autumn Afternoon,1962,8.0,Yasujirô Ozu,Drama,https://www.imdb.com/title/tt0056444/
409,tt0056732,The Exterminating Angel,1962,8.0,Luis Buñuel,"Drama, Fantasy",https://www.imdb.com/title/tt0056732/
412,tt0056687,What Ever Happened to Baby Jane?,1962,8.0,Robert Aldrich,"Drama, Horror, Thriller",https://www.imdb.com/title/tt0056687/
413,tt0056801,8½,1963,8.0,Federico Fellini,Drama,https://www.imdb.com/title/tt0056801/
431,tt0057358,Winter Light,1963,8.0,Ingmar Bergman,Drama,https://www.imdb.com/title/tt0057358/
466,tt0061184,Who's Afraid of Virginia Woolf?,1966,8.0,Mike Nichols,Drama,https://www.imdb.com/title/tt0061184/
481,tt0061722,The Graduate,1967,8.0,Mike Nichols,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0061722/
485,tt0062229,Le Samouraï,1967,8.0,Jean-Pierre Melville,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0062229/
499,tt0063442,Planet of the Apes,1968,8.0,Franklin J. Schaffner,"Adventure, Sci-Fi",https://www.imdb.com/title/tt0063442/
500,tt0063522,Rosemary's Baby,1968,8.0,Roman Polanski,"Drama, Horror",https://www.imdb.com/title/tt0063522/
509,tt0063611,Shame,1968,8.0,Ingmar Bergman,Drama,https://www.imdb.com/title/tt0063611/
516,tt0064115,Butch Cassidy and the Sundance Kid,1969,8.0,George Roy Hill,"Adventure, Biography, Crime, Drama, Western",https://www.imdb.com/title/tt0064115/
557,tt0067328,The Last Picture Show,1971,8.0,Peter Bogdanovich,"Drama, Romance",https://www.imdb.com/title/tt0067328/
589,tt0070460,Day for Night,1973,8.0,François Truffaut,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0070460/
607,tt0072417,A Woman Under the Influence,1974,8.0,John Cassavetes,"Drama, Romance",https://www.imdb.com/title/tt0072417/
608,tt0072431,Young Frankenstein,1974,8.0,Mel Brooks,Comedy,https://www.imdb.com/title/tt0072431/
612,tt0071141,Fear Eats the Soul,1974,8.0,Rainer Werner Fassbinder,"Drama, Romance",https://www.imdb.com/title/tt0071141/
618,tt0072860,Deewaar,1975,8.0,Yash Chopra,"Action, Crime, Drama, Thriller",https://www.imdb.com/title/tt0072860/
669,tt0079944,Stalker,1979,8.0,Andrei Tarkovsky,"Drama, Sci-Fi",https://www.imdb.com/title/tt0079944/
670,tt0079470,Monty Python's Life of Brian,1979,8.0,Terry Jones,Comedy,https://www.imdb.com/title/tt0079470/
714,tt0083987,Gandhi,1982,8.0,Richard Attenborough,"Biography, Drama, History",https://www.imdb.com/title/tt0083987/
785,tt0092593,Au Revoir Les Enfants,1987,8.0,Louis Malle,"Drama, War",https://www.imdb.com/title/tt0092593/
791,tt0093779,The Princess Bride,1987,8.0,Rob Reiner,"Adventure, Comedy, Family, Fantasy, Romance",https://www.imdb.com/title/tt0093779/
811,tt0094625,Akira,1988,8.0,Katsuhiro Ôtomo,"Animation, Action, Drama, Fantasy, Sci-Fi",https://www.imdb.com/title/tt0094625/
1172,tt4044364,Citizenfour,2014,8.0,Laura Poitras,"Documentary, Biography",https://www.imdb.com/title/tt4044364/
1210,tt1856101,Blade Runner 2049,2017,8.0,Denis Villeneuve,"Action, Drama, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt1856101/
1226,tt8613070,Portrait of a Lady on Fire,2019,8.0,Céline Sciamma,"Drama, Romance",https://www.imdb.com/title/tt8613070/
1242,tt2948372,Soul,2020,8.0,"Pete Docter, Kemp Powers","Animation, Adventure, Comedy, Drama, Family, Fantasy, Music",https://www.imdb.com/title/tt2948372/
1246,tt8633462,"Quo Vadis, Aida?",2020,8.0,Jasmila Zbanic,"Drama, History, War",https://www.imdb.com/title/tt8633462/
1248,tt7378922,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,8.0,"Questlove, Hal Tulchin","Documentary, History, Music",https://www.imdb.com/title/tt7378922/
1249,tt1160419,Dune: Part One,2021,8.0,Denis Villeneuve,"Action, Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt1160419/
23,tt1764657,The Great White Silence,1924,7.9,Herbert G. Ponting,Documentary,https://www.imdb.com/title/tt1764657/
30,tt0015624,The Big Parade,1925,7.9,"King Vidor, George W. Hill","Drama, Romance, War",https://www.imdb.com/title/tt0015624/
71,tt0023622,Trouble in Paradise,1932,7.9,Ernst Lubitsch,"Comedy, Crime, Romance",https://www.imdb.com/title/tt0023622/
82,tt0024216,King Kong,1933,7.9,"Merian C. Cooper, Ernest B. Schoedsack","Adventure, Horror",https://www.imdb.com/title/tt0024216/
92,tt0025878,The Thin Man,1934,7.9,W.S. Van Dyke,"Comedy, Crime, Mystery, Romance",https://www.imdb.com/title/tt0025878/
104,tt0028010,My Man Godfrey,1936,7.9,Gregory La Cava,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0028010/
117,tt0028691,Captains Courageous,1937,7.9,Victor Fleming,"Adventure, Drama, Family",https://www.imdb.com/title/tt0028691/
121,tt0029843,The Adventures of Robin Hood,1938,7.9,"Michael Curtiz, William Keighley","Action, Adventure, Romance",https://www.imdb.com/title/tt0029843/
122,tt0029870,Angels with Dirty Faces,1938,7.9,Michael Curtiz,"Crime, Drama, Film-Noir, Thriller",https://www.imdb.com/title/tt0029870/
138,tt0031885,The Rules of the Game,1939,7.9,Jean Renoir,"Comedy, Drama",https://www.imdb.com/title/tt0031885/
156,tt0034240,Sullivan's Travels,1941,7.9,Preston Sturges,"Adventure, Comedy, Drama, Romance",https://www.imdb.com/title/tt0034240/
157,tt0033870,The Maltese Falcon,1941,7.9,John Huston,"Crime, Drama, Film-Noir, Mystery, Romance",https://www.imdb.com/title/tt0033870/
176,tt0037008,Laura,1944,7.9,"Otto Preminger, Rouben Mamoulian","Drama, Film-Noir, Mystery",https://www.imdb.com/title/tt0037008/
185,tt0037913,Mildred Pierce,1945,7.9,Michael Curtiz,"Crime, Drama, Film-Noir, Mystery, Romance",https://www.imdb.com/title/tt0037913/
188,tt0037884,The Lost Weekend,1945,7.9,Billy Wilder,"Drama, Film-Noir",https://www.imdb.com/title/tt0037884/
197,tt0038348,Beauty and the Beast,1946,7.9,"Jean Cocteau, René Clément","Drama, Fantasy, Romance",https://www.imdb.com/title/tt0038348/
205,tt0038787,Notorious,1946,7.9,Alfred Hitchcock,"Drama, Film-Noir, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0038787/
208,tt0039689,Out of the Past,1947,7.9,Jacques Tourneur,"Crime, Drama, Film-Noir, Romance, Thriller",https://www.imdb.com/title/tt0039689/
221,tt0040746,Rope,1948,7.9,Alfred Hitchcock,"Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0040746/
242,tt0042593,In a Lonely Place,1950,7.9,Nicholas Ray,"Drama, Film-Noir, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0042593/
279,tt0045555,The Big Heat,1953,7.9,Fritz Lang,"Crime, Drama, Film-Noir, Thriller",https://www.imdb.com/title/tt0045555/
317,tt0049833,The Ten Commandments,1956,7.9,Cecil B. DeMille,"Adventure, Drama, Family, History",https://www.imdb.com/title/tt0049833/
365,tt0053221,Rio Bravo,1959,7.9,Howard Hawks,Western,https://www.imdb.com/title/tt0053221/
366,tt0053390,Floating Weeds,1959,7.9,Yasujirô Ozu,Drama,https://www.imdb.com/title/tt0053390/
374,tt0054331,Spartacus,1960,7.9,Stanley Kubrick,"Adventure, Biography, Drama, History, War",https://www.imdb.com/title/tt0054331/
391,tt0054997,The Hustler,1961,7.9,Robert Rossen,"Drama, Sport",https://www.imdb.com/title/tt0054997/
393,tt0055499,Through a Glass Darkly,1961,7.9,Ingmar Bergman,Drama,https://www.imdb.com/title/tt0055499/
411,tt0056218,The Manchurian Candidate,1962,7.9,John Frankenheimer,"Drama, Thriller",https://www.imdb.com/title/tt0056218/
420,tt0057091,The Leopard,1963,7.9,Luchino Visconti,"Drama, History",https://www.imdb.com/title/tt0057091/
450,tt0059113,Doctor Zhivago,1965,7.9,David Lean,"Drama, Romance, War",https://www.imdb.com/title/tt0059113/
451,tt0059894,The War Game,1966,7.9,Peter Watkins,"Drama, War",https://www.imdb.com/title/tt0059894/
489,tt0061811,In the Heat of the Night,1967,7.9,Norman Jewison,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0061811/
519,tt0064541,Kes,1969,7.9,Ken Loach,"Drama, Family",https://www.imdb.com/title/tt0064541/
522,tt0065214,The Wild Bunch,1969,7.9,Sam Peckinpah,"Action, Adventure, Drama, Western",https://www.imdb.com/title/tt0065214/
525,tt0065571,The Conformist,1970,7.9,Bernardo Bertolucci,Drama,https://www.imdb.com/title/tt0065571/
567,tt0069467,Cries & Whispers,1972,7.9,Ingmar Bergman,Drama,https://www.imdb.com/title/tt0069467/
576,tt0069281,Sleuth,1972,7.9,Joseph L. Mankiewicz,"Mystery, Thriller",https://www.imdb.com/title/tt0069281/
605,tt0072443,Mirror,1975,7.9,Andrei Tarkovsky,"Biography, Drama",https://www.imdb.com/title/tt0072443/
625,tt0074360,Cría Cuervos,1976,7.9,Carlos Saura,Drama,https://www.imdb.com/title/tt0074360/
630,tt0074119,All the President's Men,1976,7.9,Alan J. Pakula,"Drama, History, Thriller",https://www.imdb.com/title/tt0074119/
674,tt0078841,Being There,1979,7.9,Hal Ashby,"Comedy, Drama",https://www.imdb.com/title/tt0078841/
709,tt0084934,Yol,1982,7.9,Serif Gören,Drama,https://www.imdb.com/title/tt0084934/
713,tt0083946,Fitzcarraldo,1982,7.9,Werner Herzog,"Adventure, Drama, Music",https://www.imdb.com/title/tt0083946/
720,tt0085334,A Christmas Story,1983,7.9,Bob Clark,"Comedy, Family",https://www.imdb.com/title/tt0085334/
742,tt0088258,This Is Spinal Tap,1984,7.9,Rob Reiner,"Comedy, Music",https://www.imdb.com/title/tt0088258/
753,tt0089603,Mishima: A Life in Four Chapters,1985,7.9,Paul Schrader,"Biography, Drama",https://www.imdb.com/title/tt0089603/
783,tt0092048,Tampopo,1985,7.9,Jûzô Itami,Comedy,https://www.imdb.com/title/tt0092048/
810,tt0096257,The Thin Blue Line,1988,7.9,Errol Morris,"Documentary, Crime",https://www.imdb.com/title/tt0096257/
826,tt0096288,Landscape in the Mist,1988,7.9,Theodoros Angelopoulos,Drama,https://www.imdb.com/title/tt0096288/
840,tt0097216,Do the Right Thing,1989,7.9,Spike Lee,"Comedy, Drama",https://www.imdb.com/title/tt0097216/
937,tt0120363,Toy Story 2,1999,7.9,"John Lasseter, Ash Brannon, Lee Unkrich","Animation, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt0120363/
1042,tt0310793,Bowling for Columbine,2002,7.9,Michael Moore,"Documentary, Crime, Drama",https://www.imdb.com/title/tt0310793/
13,tt0013086,"Dr. Mabuse, the Gambler",1922,7.8,Fritz Lang,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt0013086/
15,tt0013442,Nosferatu,1922,7.8,F.W. Murnau,"Fantasy, Horror",https://www.imdb.com/title/tt0013442/
31,tt0016332,Seven Chances,1925,7.8,Buster Keaton,"Comedy, Romance",https://www.imdb.com/title/tt0016332/
32,tt0015532,The Adventures of Prince Achmed,1926,7.8,"Lotte Reiniger, Carl Koch","Animation, Adventure, Drama, Family, Fantasy, Music, Romance",https://www.imdb.com/title/tt0015532/
45,tt0019421,"Steamboat Bill, Jr.",1928,7.8,"Charles Reisner, Buster Keaton","Action, Comedy, Drama, Family, Romance",https://www.imdb.com/title/tt0019421/
73,tt0022913,Freaks,1932,7.8,Tod Browning,"Drama, Horror",https://www.imdb.com/title/tt0022913/
96,tt0026778,A Night at the Opera,1935,7.8,"Sam Wood, Edmund Goulding","Comedy, Music, Musical",https://www.imdb.com/title/tt0026778/
97,tt0026138,Bride of Frankenstein,1935,7.8,James Whale,"Drama, Horror, Sci-Fi",https://www.imdb.com/title/tt0026138/
103,tt0027996,Mr. Deeds Goes to Town,1936,7.8,Frank Capra,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0027996/
124,tt0029947,Bringing Up Baby,1938,7.8,Howard Hawks,Comedy,https://www.imdb.com/title/tt0029947/
130,tt0031971,Stagecoach,1939,7.8,John Ford,"Adventure, Drama, Western",https://www.imdb.com/title/tt0031971/
136,tt0031725,Ninotchka,1939,7.8,Ernst Lubitsch,"Comedy, Romance",https://www.imdb.com/title/tt0031725/
139,tt0032156,The Story of the Last Chrysanthemum,1939,7.8,Kenji Mizoguchi,"Drama, Romance",https://www.imdb.com/title/tt0032156/
141,tt0032599,His Girl Friday,1940,7.8,Howard Hawks,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0032599/
144,tt0032904,The Philadelphia Story,1940,7.8,George Cukor,"Comedy, Romance",https://www.imdb.com/title/tt0032904/
160,tt0035140,"Now, Voyager",1942,7.8,Irving Rapper,"Drama, Romance",https://www.imdb.com/title/tt0035140/
170,tt0036154,Meshes of the Afternoon,1943,7.8,"Maya Deren, Alexander Hammid","Short, Fantasy, Mystery",https://www.imdb.com/title/tt0036154/
173,tt0036342,Shadow of a Doubt,1943,7.8,Alfred Hitchcock,"Drama, Film-Noir, Mystery, Thriller",https://www.imdb.com/title/tt0036342/
178,tt0037382,To Have and Have Not,1944,7.8,Howard Hawks,"Adventure, Comedy, Drama, Film-Noir, Romance, Thriller, War",https://www.imdb.com/title/tt0037382/
179,tt0036855,Gaslight,1944,7.8,George Cukor,"Crime, Drama, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0036855/
203,tt0038574,Great Expectations,1946,7.8,David Lean,"Adventure, Drama, Mystery, Romance",https://www.imdb.com/title/tt0038574/
209,tt0039631,Monsieur Verdoux,1947,7.8,Charles Chaplin,"Comedy, Crime, Drama",https://www.imdb.com/title/tt0039631/
211,tt0039420,The Ghost and Mrs. Muir,1947,7.8,Joseph L. Mankiewicz,"Comedy, Drama, Fantasy, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0039420/
213,tt0040536,Letter from an Unknown Woman,1948,7.8,Max Ophüls,"Drama, Romance",https://www.imdb.com/title/tt0040536/
234,tt0041719,Orpheus,1950,7.8,Jean Cocteau,"Drama, Fantasy, Romance",https://www.imdb.com/title/tt0041719/
235,tt0042208,The Asphalt Jungle,1950,7.8,John Huston,"Crime, Drama, Film-Noir, Thriller",https://www.imdb.com/title/tt0042208/
342,tt0050188,Mother India,1957,7.8,Mehboob Khan,"Action, Comedy, Drama, Family, Musical",https://www.imdb.com/title/tt0050188/
350,tt0051792,The Music Room,1958,7.8,Satyajit Ray,"Drama, Music",https://www.imdb.com/title/tt0051792/
358,tt0052893,Hiroshima Mon Amour,1959,7.8,Alain Resnais,"Drama, Romance",https://www.imdb.com/title/tt0052893/
