Position,IMDb_ID,Title,Year,IMDb_Rating,Directors,Genres,URL
653,tt0074486,Eraserhead,1977,7.2,David Lynch,"Fantasy, Horror",https://www.imdb.com/title/tt0074486/
663,tt0077631,Grease,1978,7.2,Randal Kleiser,"Comedy, Musical, Romance",https://www.imdb.com/title/tt0077631/
717,tt0084422,The Night of the Shooting Stars,1982,7.2,"Paolo Taviani, Vittorio Taviani","Drama, Fantasy, Romance, War",https://www.imdb.com/title/tt0084422/
719,tt0083851,The Draughtsman's Contract,1982,7.2,Peter Greenaway,"Comedy, Drama, Mystery",https://www.imdb.com/title/tt0083851/
730,tt0086541,Videodrome,1983,7.2,David Cronenberg,"Drama, Horror, Sci-Fi, Thriller",https://www.imdb.com/title/tt0086541/
754,tt0089755,Out of Africa,1985,7.2,Sydney Pollack,"Biography, Drama, Romance",https://www.imdb.com/title/tt0089755/
764,tt0091867,A Room with a View,1986,7.2,James Ivory,"Drama, Romance",https://www.imdb.com/title/tt0091867/
766,tt0091474,Manhunter,1986,7.2,Michael Mann,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt0091474/
770,tt0090830,Children of a Lesser God,1986,7.2,Randa Haines,"Drama, Romance",https://www.imdb.com/title/tt0090830/
776,tt0090952,Peking Opera Blues,1986,7.2,Hark Tsui,"Action, Comedy, History",https://www.imdb.com/title/tt0090952/
781,tt0091943,Sherman's March,1985,7.2,Ross McElwee,"Documentary, Biography, Comedy, History, Romance",https://www.imdb.com/title/tt0091943/
797,tt0093565,Moonstruck,1987,7.2,Norman Jewison,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0093565/
802,tt0092843,The Dead,1987,7.2,John Huston,Drama,https://www.imdb.com/title/tt0092843/
823,tt0094964,Dead Ringers,1988,7.2,David Cronenberg,"Drama, Horror, Thriller",https://www.imdb.com/title/tt0094964/
838,tt0097240,Drugstore Cowboy,1989,7.2,Gus Van Sant,"Crime, Drama",https://www.imdb.com/title/tt0097240/
841,tt0100842,The Unbelievable Truth,1989,7.2,Hal Hartley,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0100842/
866,tt0103285,Once Upon a Time in China,1991,7.2,Hark Tsui,Action,https://www.imdb.com/title/tt0103285/
878,tt0105488,Strictly Ballroom,1992,7.2,Baz Luhrmann,"Comedy, Drama, Music, Romance",https://www.imdb.com/title/tt0105488/
882,tt0104008,A Tale of Winter,1992,7.2,Éric Rohmer,"Drama, Romance",https://www.imdb.com/title/tt0104008/
907,tt0110005,Heavenly Creatures,1994,7.2,Peter Jackson,"Biography, Crime, Drama, Thriller",https://www.imdb.com/title/tt0110005/
920,tt0109382,Dear Diary,1993,7.2,Nanni Moretti,"Biography, Comedy, Drama",https://www.imdb.com/title/tt0109382/
